Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley E09000006,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000234,Bromsgrove E07000234,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000095,Broxbourne E07000095,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000172,Broxtowe E07000172,1.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000117,Burnley E07000117,3.1
http://opendatacommunities.org/id/geography/administration/md/E08000002,Bury E08000002,2.3
http://opendatacommunities.org/id/geography/administration/md/E08000033,Calderdale E08000033,2
http://opendatacommunities.org/id/geography/administration/nmd/E07000008,Cambridge E07000008,0.8
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden E09000007,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000192,Cannock Chase E07000192,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000106,Canterbury E07000106,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000028,Carlisle E07000028,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000069,Castle Point E07000069,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,Charnwood E07000130,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000070,Chelmsford E07000070,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000078,Cheltenham E07000078,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000177,Cherwell E07000177,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000034,Chesterfield E07000034,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000225,Chichester E07000225,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000005,Chiltern E07000005,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000118,Chorley E07000118,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000048,Christchurch E07000048,1
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London E09000001,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000071,Colchester E07000071,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000029,Copeland E07000029,2.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000150,Corby E07000150,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000079,Cotswold E07000079,0.7
http://opendatacommunities.org/id/geography/administration/md/E08000026,Coventry E08000026,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000163,Craven E07000163,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000226,Crawley E07000226,1.3
http://opendatacommunities.org/id/geography/administration/lonb/E09000008,Croydon E09000008,3
http://opendatacommunities.org/id/geography/administration/nmd/E07000096,Dacorum E07000096,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000107,Dartford E07000107,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000151,Daventry E07000151,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000035,Derbyshire Dales E07000035,0.6
http://opendatacommunities.org/id/geography/administration/md/E08000017,Doncaster E08000017,2.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000108,Dover E07000108,2.1
http://opendatacommunities.org/id/geography/administration/md/E08000027,Dudley E08000027,2.9
http://opendatacommunities.org/id/geography/administration/lonb/E09000009,Ealing E09000009,2.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000009,East Cambridgeshire E07000009,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000040,East Devon E07000040,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000049,East Dorset E07000049,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000085,East Hampshire E07000085,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000242,East Hertfordshire E07000242,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000137,East Lindsey E07000137,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000152,East Northamptonshire E07000152,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000193,East Staffordshire E07000193,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000061,Eastbourne E07000061,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000086,Eastleigh E07000086,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000030,Eden E07000030,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000207,Elmbridge E07000207,0.6
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield E09000010,2.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000072,Epping Forest E07000072,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000208,Epsom and Ewell E07000208,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000036,Erewash E07000036,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000041,Exeter E07000041,1.1
