num_borrowers,agenew,devontown
128,55,Barnstaple
174,56,Barnstaple
141,57,Barnstaple
137,58,Barnstaple
108,59,Barnstaple
328,6,Barnstaple
142,60,Barnstaple
134,61,Barnstaple
139,62,Barnstaple
146,63,Barnstaple
144,64,Barnstaple
160,65,Barnstaple
124,66,Barnstaple
186,67,Barnstaple
167,68,Barnstaple
199,69,Barnstaple
340,7,Barnstaple
172,70,Barnstaple
140,71,Barnstaple
148,72,Barnstaple
148,73,Barnstaple
126,74,Barnstaple
103,75,Barnstaple
88,76,Barnstaple
99,77,Barnstaple
86,78,Barnstaple
91,79,Barnstaple
314,8,Barnstaple
88,80,Barnstaple
73,81,Barnstaple
62,82,Barnstaple
54,83,Barnstaple
50,84,Barnstaple
39,85,Barnstaple
47,86,Barnstaple
27,87,Barnstaple
25,88,Barnstaple
25,89,Barnstaple
361,9,Barnstaple
26,90,Barnstaple
22,91,Barnstaple
7,92,Barnstaple
6,93,Barnstaple
8,94,Barnstaple
6,95,Barnstaple
12,96,Barnstaple
5,97,Barnstaple
1,98,Barnstaple
1,99,Barnstaple
1060,,Bideford/Northam
14,0,Bideford/Northam
69,1,Bideford/Northam
235,10,Bideford/Northam
2,100,Bideford/Northam
277,11,Bideford/Northam
2,115,Bideford/Northam
6,116,Bideford/Northam
223,12,Bideford/Northam
231,13,Bideford/Northam
186,14,Bideford/Northam
146,15,Bideford/Northam
136,16,Bideford/Northam
150,17,Bideford/Northam
134,18,Bideford/Northam
151,19,Bideford/Northam
100,2,Bideford/Northam
154,20,Bideford/Northam
154,21,Bideford/Northam
155,22,Bideford/Northam
121,23,Bideford/Northam
148,24,Bideford/Northam
155,25,Bideford/Northam
184,26,Bideford/Northam
153,27,Bideford/Northam
256,28,Bideford/Northam
172,29,Bideford/Northam
156,3,Bideford/Northam
145,30,Bideford/Northam
147,31,Bideford/Northam
138,32,Bideford/Northam
127,33,Bideford/Northam
112,34,Bideford/Northam
141,35,Bideford/Northam
145,36,Bideford/Northam
158,37,Bideford/Northam
141,38,Bideford/Northam
162,39,Bideford/Northam
222,4,Bideford/Northam
163,40,Bideford/Northam
134,41,Bideford/Northam
151,42,Bideford/Northam
127,43,Bideford/Northam
131,44,Bideford/Northam
145,45,Bideford/Northam
136,46,Bideford/Northam
123,47,Bideford/Northam
132,48,Bideford/Northam
115,49,Bideford/Northam
226,5,Bideford/Northam
134,50,Bideford/Northam
103,51,Bideford/Northam
121,52,Bideford/Northam
141,53,Bideford/Northam
128,54,Bideford/Northam
118,55,Bideford/Northam
132,56,Bideford/Northam
106,57,Bideford/Northam
109,58,Bideford/Northam
101,59,Bideford/Northam
245,6,Bideford/Northam
126,60,Bideford/Northam
116,61,Bideford/Northam
124,62,Bideford/Northam
142,63,Bideford/Northam
142,64,Bideford/Northam
157,65,Bideford/Northam
194,66,Bideford/Northam
178,67,Bideford/Northam
140,68,Bideford/Northam
190,69,Bideford/Northam
251,7,Bideford/Northam
169,70,Bideford/Northam
129,71,Bideford/Northam
116,72,Bideford/Northam
107,73,Bideford/Northam
110,74,Bideford/Northam
80,75,Bideford/Northam
71,76,Bideford/Northam
67,77,Bideford/Northam
60,78,Bideford/Northam
71,79,Bideford/Northam
281,8,Bideford/Northam
51,80,Bideford/Northam
63,81,Bideford/Northam
37,82,Bideford/Northam
38,83,Bideford/Northam
47,84,Bideford/Northam
39,85,Bideford/Northam
32,86,Bideford/Northam
25,87,Bideford/Northam
16,88,Bideford/Northam
15,89,Bideford/Northam
248,9,Bideford/Northam
15,90,Bideford/Northam
14,91,Bideford/Northam
7,92,Bideford/Northam
3,93,Bideford/Northam
7,94,Bideford/Northam
5,95,Bideford/Northam
4,96,Bideford/Northam
3,97,Bideford/Northam
1,98,Bideford/Northam
1,99,Bideford/Northam
488,,Braunton
4,0,Braunton
23,1,Braunton
118,10,Braunton
105,11,Braunton
2,115,Braunton
2,116,Braunton
102,12,Braunton
92,13,Braunton
67,14,Braunton
61,15,Braunton
46,16,Braunton
59,17,Braunton
52,18,Braunton
41,19,Braunton
52,2,Braunton
45,20,Braunton
40,21,Braunton
48,22,Braunton
48,23,Braunton
41,24,Braunton
34,25,Braunton
38,26,Braunton
45,27,Braunton
55,28,Braunton
44,29,Braunton
77,3,Braunton
75,30,Braunton
79,31,Braunton
63,32,Braunton
55,33,Braunton
68,34,Braunton
67,35,Braunton
72,36,Braunton
72,37,Braunton
72,38,Braunton
74,39,Braunton
80,4,Braunton
65,40,Braunton
71,41,Braunton
76,42,Braunton
68,43,Braunton
60,44,Braunton
70,45,Braunton
58,46,Braunton
63,47,Braunton
49,48,Braunton
44,49,Braunton
109,5,Braunton
67,50,Braunton
39,51,Braunton
37,52,Braunton
52,53,Braunton
30,54,Braunton
36,55,Braunton
29,56,Braunton
46,57,Braunton
34,58,Braunton
39,59,Braunton
135,6,Braunton
28,60,Braunton
27,61,Braunton
37,62,Braunton
30,63,Braunton
36,64,Braunton
44,65,Braunton
45,66,Braunton
35,67,Braunton
55,68,Braunton
46,69,Braunton
132,7,Braunton
52,70,Braunton
39,71,Braunton
46,72,Braunton
44,73,Braunton
36,74,Braunton
26,75,Braunton
35,76,Braunton
28,77,Braunton
33,78,Braunton
26,79,Braunton
130,8,Braunton
19,80,Braunton
20,81,Braunton
23,82,Braunton
18,83,Braunton
20,84,Braunton
17,85,Braunton
22,86,Braunton
7,87,Braunton
3,88,Braunton
8,89,Braunton
116,9,Braunton
11,90,Braunton
8,91,Braunton
1,92,Braunton
5,93,Braunton
1,94,Braunton
3,95,Braunton
2,96,Braunton
556,,Crediton
15,0,Crediton
37,1,Crediton
181,10,Crediton
1,101,Crediton
154,11,Crediton
1,112,Crediton
1,113,Crediton
3,116,Crediton
140,12,Crediton
150,13,Crediton
122,14,Crediton
115,15,Crediton
101,16,Crediton
112,17,Crediton
94,18,Crediton
99,19,Crediton
78,2,Crediton
79,20,Crediton
95,21,Crediton
97,22,Crediton
71,23,Crediton
79,24,Crediton
82,25,Crediton
96,26,Crediton
74,27,Crediton
114,28,Crediton
81,29,Crediton
112,3,Crediton
78,30,Crediton
85,31,Crediton
87,32,Crediton
93,33,Crediton
74,34,Crediton
89,35,Crediton
95,36,Crediton
87,37,Crediton
103,38,Crediton
79,39,Crediton
124,4,Crediton
93,40,Crediton
105,41,Crediton
100,42,Crediton
74,43,Crediton
81,44,Crediton
77,45,Crediton
